State,Date,Plastic,,,
AL,2016,8.50E-06,,,
AL,2016,9.92E-06,,,
WA,2016,0,,,
OR,2016,0,,,
WA,2016,1.28E-05,,,
CA,2016,0.000115942,,,
OR,2016,0,,,
WA,2016,0.000111111,,,
VA,2016,4.67E-05,,,
WA,2016,0,,,
WA,2016,1.19E-05,,,
OR,2016,9.09E-05,,,
WA,2016,0,,,
OR,2016,9.52E-06,,,
CA,2016,0,,,
CA,2016,0,,,
CA,2016,0.000206897,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
AK,2016,0,,,
AK,2016,1.76E-05,,,
OR,2016,0,,,
WA,2016,0,,,
WA,2016,0,,,
CA,2016,0,,,
TX,2016,0.000311142,,,
TX,2016,0.000852697,,,
TX,2016,0.000274276,,,
WA,2016,0,,,
TX,2016,0.000358009,,,
TX,2016,0.000366416,,,
TX,2016,0.000754206,,,
VA,2016,0,,,
WA,2016,0,,,
OR,2016,1.53E-05,,,
TX,2016,1.05E-05,,,
VA,2016,0,,,
WA,2016,0,,,
WA,2016,3.13E-06,,,
HI,2016,7.91E-06,,,
FL,2016,6.06E-05,,,
FL,2016,0,,,
FL,2016,0,,,
CA,2016,1.74E-05,,,
VA,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
LA,2016,1.51E-05,,,
LA,2016,1.39E-05,,,
LA,2016,2.49E-05,,,
MS,2016,3.57E-05,,,
MS,2016,1.19E-05,,,
MS,2016,3.03E-05,,,
MS,2016,0,,,
MS,2016,1.39E-05,,,
MS,2016,6.94E-06,,,
AL,2016,8.77E-06,,,
AL,2016,0,,,
AL,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
WA,2016,0,,,
WA,2016,0,,,
WA,2016,3.95E-05,,,
VA,2016,2.57E-05,,,
WA,2016,5.26E-06,,,
WA,2016,0,,,
CA,2016,1.18E-06,,,
WA,2016,0,,,
CA,2016,0,,,
CA,2016,4.81E-05,,,
AK,2016,0,,,
WA,2016,1.34E-05,,,
CA,2016,0.000119658,,,
WA,2016,1.79E-05,,,
WA,2016,0,,,
WA,2016,0,,,
CA,2016,0,,,
OR,2016,4.63E-05,,,
OR,2016,1.67E-06,,,
TX,2016,0.001452127,,,
TX,2016,2.47E-05,,,
TX,2016,0.000471949,,,
TX,2016,0.000810197,,,
TX,2016,0.000130971,,,
VA,2016,2.25E-05,,,
OR,2016,0,,,
CA,2016,0,,,
VA,2016,8.03E-06,,,
TX,2016,0.002971848,,,
TX,2016,0.00057903,,,
MS,2016,0,,,
MS,2016,1.25E-05,,,
MS,2016,2.50E-05,,,
MS,2016,0,,,
MS,2016,1.74E-05,,,
MS,2016,0,,,
WA,2016,0,,,
FL,2016,2.03E-05,,,
FL,2016,0,,,
FL,2016,0,,,
MS,2016,0,,,
MS,2016,3.25E-05,,,
MS,2016,0.000102041,,,
LA,2016,2.23E-05,,,
LA,2016,0,,,
LA,2016,0,,,
WA,2016,6.25E-06,,,
AL,2016,0,,,
AL,2016,0,,,
AL,2016,4.63E-05,,,
WA,2016,6.17E-05,,,
CA,2016,0,,,
VA,2016,7.61E-06,,,
CA,2016,0,,,
Or,2016,7.41E-06,,,
Or,2016,0,,,
WA,2016,0,,,
WA,2016,3.00E-05,,,
CA,2016,0.000176871,,,
OR,2016,4.65E-06,,,
VA,2016,6.32E-06,,,
WA,2016,9.29E-05,,,
CA,2016,0,,,
CA,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
CA,2016,0.000153061,,,
WA,2016,1.61E-05,,,
WA,2016,2.67E-05,,,
BC,2016,9.60E-07,,,
BC,2016,1.04E-06,,,
WA,2016,2.64E-05,,,
OR,2016,3.45E-05,,,
TX,2016,0.001311792,,,
TX,2016,0.000412823,,,
WA,2016,0,,,
VA,2016,0,,,
CA,2016,0,,,
WA,2016,4.33E-07,,,
WA,2016,6.94E-06,,,
BC,2016,0,,,
BC,2016,0,,,
BC,2016,0,,,
BC,2016,0,,,
BC,2016,0,,,
TX,2016,0.001039268,,,
AK,2016,5.78E-07,,,
AL,2016,9.92E-05,,,
AL,2016,3.47E-05,,,
AL,2016,3.33E-05,,,
TX,2016,0,,,
FL,2016,0,,,
FL,2016,0,,,
FL,2016,0,,,
VA,2016,7.15E-06,,,
MS,2016,2.98E-05,,,
MS,2016,2.98E-05,,,
MS,2016,0.000142857,,,
LA,2016,2.75E-05,,,
LA,2016,0,,,
LA,2016,0,,,
OR,2016,0,,,
WA,2016,0,,,
CA,2016,0,,,
WA,2016,1.94E-05,,,
WA,2016,1.03E-05,,,
VA,2016,2.94E-05,,,
MS,2016,0,,,
MS,2016,3.03E-05,,,
MS,2016,4.04E-05,,,
MS,2016,7.22E-06,,,
MS,2016,1.78E-05,,,
MS,2016,7.22E-06,,,
WA,2016,1.25E-05,,,
AK,2016,0,,,
OR,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,5.54E-05,,,
AK,2016,1.51E-06,,,
CA,2016,0.00012963,,,
AK,2016,5.11E-07,,,
WA,2016,1.33E-05,,,
CA,2016,0,,,
CA,2016,0,,,
VA,2016,9.86E-05,,,
WA,2016,7.41E-06,,,
OR,2016,0,,,
Or,2016,5.41E-06,,,
OR,2016,2.08E-05,,,
WA,2016,0,,,
CA,2016,3.33E-05,,,
TX,2016,0.000472949,,,
TX,2016,4.84E-05,,,
WA,2016,1.54E-05,,,
TX,2016,0.000273102,,,
TX,2016,0.000176089,,,
CA,2016,0,,,
WA,2016,0,,,
TX,2016,0.000409344,,,
TX,2016,0.000178205,,,
TX,2016,0.0004069,,,
CA,2016,1.93E-06,,,
VA,2016,1.91E-05,,,
FL,2016,0.00010582,,,
FL,2016,0,,,
FL,2016,4.94E-05,,,
CA,2016,0,,,
MS,2016,9.52E-06,,,
MS,2016,8.33E-06,,,
AL,2016,0,,,
AL,2016,0,,,
AL,2016,2.58E-05,,,
MS,2016,0,,,
WA,2016,0.00022973,,,
WA,2016,1.79E-05,,,
VA,2016,0,,,
WA,2016,3.70E-05,,,
MS,2016,2.58E-05,,,
MS,2016,0,,,
MS,2016,0,,,
LA,2016,0,,,
LA,2016,0,,,
LA,2016,0,,,
VA,2016,4.40E-05,,,
WA,2016,5.00E-05,,,
WA,2016,5.00E-05,,,
WA,2016,1.71E-05,,,
CA,2016,0,,,
CA,2016,0,,,
NJ,2016,0,,,
CA,2016,1.70E-05,,,
CA,2016,4.44E-05,,,
VA,2016,4.62E-05,,,
NJ,2016,0.000166667,,,
Or,2016,0,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,2.23E-05,,,
HI,2016,2.20E-05,,,
WA,2016,3.51E-05,,,
WA,2016,0,,,
WA,2016,0,,,
OR,2016,0,,,
WA,2016,1.73E-06,,,
CA,2016,0,,,
TX,2016,0.000123539,,,
TX,2016,8.93E-05,,,
TX,2016,0.00011082,,,
NJ,2016,0.0016,,,
TX,2016,8.81E-05,,,
TX,2016,0.000119316,,,
TX,2016,8.49E-05,,,
TX,2016,1.10E-05,,,
OR,2016,0,,,
OR,2016,1.85E-06,,,
VA,2016,1.28E-05,,,
VA,2016,3.65E-06,,,
MS,2016,0,,,
MS,2016,1.11E-05,,,
MS,2016,7.69E-06,,,
CA,2016,0,,,
WA,2016,0,,,
FL,2016,0,,,
FL,2016,4.60E-05,,,
FL,2016,2.16E-05,,,
CA,2016,6.10E-05,,,
WA,2016,9.62E-06,,,
NJ,2016,0,,,
NJ,2016,0,,,
AK,2016,1.19E-05,,,
AL,2016,1.02E-05,,,
AL,2016,0,,,
AL,2016,0,,,
VA,2016,8.55E-06,,,
CA,2016,0,,,
WA,2016,2.98E-05,,,
WA,2016,0,,,
WA,2016,4.03E-05,,,
WA,2016,5.41E-06,,,
CA,2016,0,,,
WA,2016,2.45E-05,,,
CA,2016,0,,,
Or,2016,0,,,
WA,2016,0,,,
CA,2016,3.04E-05,,,
CA,2016,0.000111111,,,
WA,2016,4.94E-05,,,
OR,2016,1.30E-05,,,
VA,2016,5.64E-05,,,
WA,2016,0.000245614,,,
WA,2016,0,,,
TX,2016,6.93E-05,,,
TX,2016,6.09E-06,,,
TX,2016,0.000153046,,,
HI,2016,0,,,
HI,2016,0,,,
HI,2016,1.81E-05,,,
HI,2016,0,,,
TX,2016,8.53E-05,,,
TX,2016,0.000215729,,,
TX,2016,0.000144352,,,
TX,2016,1.23E-05,,,
MS,2016,0,,,
WA,2016,0,,,
AL,2016,0,,,
AL,2016,4.00E-05,,,
AL,2016,5.33E-05,,,
